data_driven_era,book_share,rating_share,bbe_vote_share,series_flag,title_clean,primary_author
1997-2008,0.11346444780635401,0.8467358334815063,0.9620387519589685,series,Avalon High,Meg Cabot
1997-2008,0.11396873424104892,0.8472279855806298,0.9622667046587833,series,Finnikin of the Rock,Melina Marchetta
1997-2008,0.11447302067574382,0.8477189046822939,0.9623949280524291,series,Revenge of the Witch,Joseph Delaney
1997-2008,0.11497730711043873,0.8482050081146354,0.9625017808804673,series,Forest of Secrets,Erin Hunter
1997-2008,0.11548159354513364,0.8486909138021015,0.9626157572303747,series,The Looking Glass Wars,Frank Beddor
1997-2008,0.11598587997982854,0.8491727831676956,0.96265849836159,series,Ark Angel,Anthony Horowitz
1997-2008,0.11649016641452345,0.849650732531933,0.9627226100584129,series,Gregor and the Code of Claw,Suzanne Collins
1997-2008,0.11699445284921836,0.8501270068807539,0.9627795982333666,series,Gregor and the Curse of the Warmbloods,Suzanne Collins
1997-2008,0.11749873928391326,0.850602036600064,0.9629078216270124,series,Sandry's Book,Tamora Pierce
1997-2008,0.11800302571860817,0.8510704825782228,0.9629149451488817,series,Midnight for Charlie Bone,Jenny Nimmo
1997-2008,0.11850731215330308,0.8515366486742869,0.9630716626300043,series,The Amazing Maurice and His Educated Rodents,Terry Pratchett
1997-2008,0.11901159858799798,0.8520021866395698,0.9631571448924349,series,The Wizard Heir,Cinda Williams Chima
1997-2008,0.11951588502269289,0.8524638162355476,0.9632996153298191,series,Jessica's Guide to Dating on the Dark Side,Beth Fantaskey
1997-2008,0.1200201714573878,0.8529240616173963,0.963363727026642,standalone,How I Live Now,Meg Rosoff
1997-2008,0.1205244578920827,0.8533835392838458,0.9634634563328109,series,East,Edith Pattou
1997-2008,0.12102874432677761,0.8538427145169561,0.9640689556916939,blockbuster_franchise,Percy Jackson and the Olympians,Rick Riordan
1997-2008,0.12153303076147251,0.8543018781180151,0.96410457330104,series,Gregor and the Prophecy of Bane,Suzanne Collins
1997-2008,0.12203731719616742,0.8547548418356224,0.964339649522724,series,Enna Burning,Shannon Hale
1997-2008,0.12254160363086233,0.855206979677573,0.9645319846131928,standalone,Blood and Chocolate,Annette Curtis Klause
1997-2008,0.12304589006555723,0.8556570353823044,0.9646317139193618,series,Rising Storm,Erin Hunter
1997-2008,0.12355017650025214,0.8561069980306238,0.9648881607066534,blockbuster_franchise,Twilight,Meg Cabot
1997-2008,0.12405446293494705,0.8565538549211918,0.9649950135346915,series,The Queen of Attolia,Megan Whalen Turner
1997-2008,0.12455874936964195,0.8569997230873819,0.9650733722752529,series,The Vampire's Assistant,Darren Shan
1997-2008,0.12506303580433686,0.8574436487009709,0.9652015956688987,series,The Darkest Hour,Erin Hunter
